Comment:,Sample spreadsheet P in (kb),,,,,
P,F,Kr,DU,DTh,DRa,DPa
40,0,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
39,2.41E-03,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
38,4.82E-03,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
37,7.23E-03,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
36,9.64E-03,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
35,1.21E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
34,1.45E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
33,1.69E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
32,1.93E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
31,2.17E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
30,2.41E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
29,2.65E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
28,2.89E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
27,3.13E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
26,3.37E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
25,3.62E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
24,3.86E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
23,4.10E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
22,4.34E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
21,4.58E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
20,4.82E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
19,5.06E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
18,5.30E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
17,5.54E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
16,5.78E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
15,6.03E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
14,6.27E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
13,6.51E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
12,6.75E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
11,6.99E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
10,7.23E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
9,7.47E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
8,7.71E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
7,7.95E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
6,8.19E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
5,8.44E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
4,8.68E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
3,8.92E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
2,9.16E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
1,9.40E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
0,9.64E-02,1,9.00E-03,5.00E-03,2.00E-05,1.00E-05
